adig;addig
edig;eddig
akkumlátor;akkumulátor
akumulátor;akkumulátor
akumlátor;akkumulátor
alat;alatt
ambíciózus;ambiciózus
amikoris;amikor is
aminósav;aminosav
anterna;antenna
archiv;archív
ártatlanság védelme;ártatlanság vélelme
aszt;azt
atol;atoll
attol;attól
audencia;audiencia
autógramm;autogram
autómata;automata
autómatikus;automatikus
asszimetrikus;aszimetrikus
az mellett;amellett
az miatt;amiatt
bábú;bábu
bakkancs;bakancs
barrikád;barikád
bátty;báty
bennt;bent
berzin;benzin
bicigli;bicikli
bisztos;biztos
bizotság;bizottság
bíztat;biztat
bólya;bója
bőjt;böjt
bújdosó;bujdosó
bulgár;bolgár
celulóz;cellulóz
centíroz;centríroz
centírozás;centrírozás
cimke;címke
cukrázda;cukrászda
cupák;cubák
Curiculum Vitae;curriculum vitae
Curicullum Vitae;curriculum vitae
Cannes-i Filmfesztivál;cannes-i filmfesztivál
díjjat;díjat
dezsavű;déjà vu
déjá vu;déjà vu
dícsér;dicsér
diktatorikus;diktatórikus
egybe ír;egybeír
egésség;egészség
eggyüt;együtt
eggyütt;együtt
együt;együtt
elen;ellen
elenfél;ellenfél
elenség;ellenség
elenére;ellenére
elhúnyt;elhunyt
ellem;elem
elől;elöl
enyémek;enyéim
enyimé;enyém
ez mellett;emellett
ez miatt;emiatt
feminim;feminin
fennt;fent
fiúk;fiuk
fiúnk;fiunk
folytás;fojtás
folytani;fojtani
folytottam;fojtottam
folytotta;fojtotta
fojatta;folyatta
foradalom;forradalom
forduljonak;forduljanak
főkép;főképp
futbal;futball
frisseség;frissesség
gargalizál;gargarizál
gémkapocs;gemkapocs
glecser;gleccser
haggyuk;hagyjuk
hátúl;hátul
heggesztő;hegesztő
helyezet;helyezett
higyj;higgy
higyjed;higgyed
hírdetés;hirdetés
hologramm;hologram
hoszú;hosszú
hoszu;hosszú
ien;ilyen
igér;ígér
megigér;megígér
inteligencia;intelligencia
inteligens;intelligens
írdd;írd
irígy;irigy
íjed;ijed
írtani;irtani
írt;irt
ismerté;ismertté
jeggyűrű;jegygyűrű
jelemző;jellemző
jóbarát;jó barát
jóéjt;jó éjt
jösz;jössz
jösztök;jöttök
kálcium;kalcium
kapizsgál;kapiskál
kapizsgálod;kapiskálod
kapizskálja;kapiskálja
kaukció;kaució
kézpénz;készpénz
kijeb;kijjebb
kiljebb;kijjebb
kíjebb;kijjebb
kíjjebb;kijjebb
kilóméter;kilométer
kissebb;kisebb
kissebbség;kisebbség
kisér;kísér
kiván;kíván
klipp;klip
komunista;kommunista
komunizmus;kommunizmus
konjukció;konjunkció
konkurrens;konkurens
kóperáció;kooperáció
Kórea;Korea
korelláció;korreláció
ködbér;kötbér
közöség;közösség
közöt;között
kultúrális;kulturális
külömb;különb
külömböző;különböző
külömbség;különbség
lasan;lassan
lasú;lassú
ledegradál;degradál
legoptimálisabb;optimális
optimálisabb;optimális
lehellet;lehelet
lejeb;lejjebb
lejjeb;lejjebb
lejebb;lejjebb
lelőte;lelőtte
lennt;lent
lessz;lesz
légyszives;légy szíves
licensz;licenc
liszensz;licenc
lükverc;rükverc
másnéven;más néven
médiák;média
mediterán;mediterrán
mégha;még ha
megszűntet;megszüntet
mellet;mellett
melett;mellett
mennyegző;menyegző
mennyasszony;menyasszony
mégy;mész
mien;milyen
milió;millió
miliárd;milliárd
mér;miért
mé;miért
mom má;mond már
mindíg;mindig
mindég;mindig
minnél;minél
muszály;muszáj
nyavaja;nyavalya
nem utolsó sorban;nem utolsósorban
nyitva tartás;nyitvatartás
öccs;öcs
önáló;önálló
önnálló;önálló
passzív ház;passzívház
patka;padka
periódikus;periodikus
perpetum mobile;perpetuum mobile
plussz;plusz
pósta;posta
poszthumusz;posztumusz
posztomusz;posztumusz
pozició;pozíció
pozícionál;pozicionál
pszihológia;pszichológia
pszihologia;pszichológia
pszichologia;pszichológia
pullóver;pulóver
régesrég;réges-rég
rencám;rendszám
rublika;rubrika
revidiál;revideál
robosztus;robusztus
sujt;sújt
súlyt;sújt
sűrgős;sürgős
szallag;szalag
szavana;szavanna
széndioxid;szén-dioxid
széndioxid kibocsátás;szén-dioxid-kibocsátás
szervíz;szerviz
szinfónia;szimfónia
színfónia;szimfónia
szinoníma;szinonima
szóbaáll;szóba áll
szoltíroz;szortíroz
szőllő;szőlő
szölö;szőlő
szöllö;szőlő
sztyep;sztyepp
tizes;tízes
tízed;tized
tiedé;tied
tikfa;tíkfa
tikkfa;tíkfa
tíkkfa;tíkfa
típikus;tipikus
tipus;típus
tolarencia;tolerancia
töllem;tőlem
tőllem;tőlem
tüllem;tőlem
tőlteni;tölteni
tőteni;tölteni
tőccsed;töltsed
tradícionális;tradicionális
túrista;turista
tüzi;tűzi
únió;unió
utiterv;útiterv
utitárs;útitárs
uticél;úti cél
utiköltség;útiköltség
útmenti;út menti
újév;új év
útálom;utálom
utánna;utána
vákum;vákuum
vanillia;vanília
vaníllia;vanília
ventillátor;ventilátor
vizi;vízi
vizilabda;vízilabda
viziló;víziló
aggáj;aggály
akadáj;akadály
akármijen;akármilyen
amej;amely
amijen;amilyen
amojan;amolyan
apáj;apály
aszáj;aszály
bályos;bájos
bellyebb;beljebb
bejjebb;beljebb
béjeg;bélyeg
bojong;bolyong
borbéj;borbély
borzadáj;borzadály
bögöj;bögöly
cikkej;cikkely
coboj;coboly
csekéj;csekély
csermej;csermely
